field,entity_level,type,unit,requiredness,nullable,allowed_vocabulary,definition,example,provenance_authority,schema_version
affected_system_ids,portal/API record-type coverage summary,string,unitless_or_not_applicable,conditional,True,,Semicolon-delimited systems not counted as available.,,release-scoped portal/API content audit,1.0
allowed_vocabulary,dictionary field,string,unitless_or_not_applicable,required,False,,Pipe-delimited controlled values when a closed vocabulary applies.,allowed_vocabulary,generated package schema audit,1.0
archive_filename,released molecular file,string,unitless_or_not_applicable,required,False,,Name of the family-level ZIP archive containing the released file.,CoupledMD_reduced_trajectories_G12-13.zip,validated reduced molecular-release manifest,1.0
archive_member_path,released molecular file,string,unitless_or_not_applicable,required,False,,Relative path of the file inside its family-level ZIP archive.,G12_7SF7/structure.pdb,validated reduced molecular-release manifest,1.0
atom_order_backbone_geometry,released molecular pair QC record,string,unitless_or_not_applicable,required,False,passed,Result of the atom-order/backbone-geometry consistency check.,passed,validated reduced molecular-release manifest and full-frame QC audit,1.0
availability_semantics,portal/API record-type coverage summary,string,unitless_or_not_applicable,required,False,,Explicit rule used to count a current server record as available.,Available means a non-empty current portal structure file is present.,release-scoped portal/API content audit,1.0
baseline_replica_statuses,release-boundary system,string,unitless_or_not_applicable,conditional,True,,Concatenated human-readable baseline status summary for the three replicas.,rep1=HOLD | rep2=HOLD | rep3=HOLD,release-boundary decision and readiness evidence,1.0
catastrophic_chain_break_absent,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether full-frame geometry checks found no catastrophic chain break.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
ci_hi,system/interface/metric gateway record,number,metric-dependent,required,False,,Upper bound of the stored gateway interval.,6.12,per-system three-replica gateway records,1.0
ci_lo,system/interface/metric gateway record,number,metric-dependent,required,False,,Lower bound of the stored gateway interval.,5.725,per-system three-replica gateway records,1.0
complex_separation_absent,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether full-frame geometry checks found no catastrophic complex separation.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
component_scope,released molecular file / released molecular pair QC record,string,unitless_or_not_applicable,required,False,,Author-defined retained-component scope of the reduced molecular files.,proteins plus selected ligands retained during system preparation where applicable,validated reduced molecular-release manifest; validated reduced molecular-release manifest and full-frame QC audit,1.0
component_scope_authority,released molecular pair QC record,string,unitless_or_not_applicable,required,False,,Authority for the retained-component selection statement.,author-defined system preparation and release selection,validated reduced molecular-release manifest and full-frame QC audit,1.0
coordinate_scatter_absent,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether full-frame geometry checks found no catastrophic coordinate scatter.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
definition,dictionary field,string,unitless_or_not_applicable,required,False,,Reader-facing semantic definition of the serialized field.,definition,generated package schema audit,1.0
distribution_status,source system/replica provenance record,string,unitless_or_not_applicable,required,False,source_full_system_trajectory_not_distributed,Whether the source full-system trajectory is distributed as a molecular file.,source_full_system_trajectory_not_distributed,source simulation campaign and release-selection rule,1.0
duration_ns,source system/replica provenance record,integer,ns,required,False,,Selected production duration represented by the replica row.,500,source simulation campaign and release-selection rule,1.0
engine_version_scope,source system/replica provenance record,string,unitless_or_not_applicable,required,False,single_version_in_available_records|mixed_across_available_records|not_recovered,"Whether available production outputs contain one version, multiple versions or no recovered version.",single_version_in_available_records,source simulation campaign and release-selection rule,1.0
engine_versions_from_job_scripts,source system/replica provenance record,integer,unitless_or_not_applicable,conditional,True,,Pipe-delimited engine versions recovered from retained job scripts; this is separate from output-derived evidence.,24,source simulation campaign and release-selection rule,1.0
engine_versions_from_production_outputs,source system/replica provenance record,string,unitless_or_not_applicable,conditional,True,,Pipe-delimited engine versions recovered directly from available production outputs for the system.,24,source simulation campaign and release-selection rule,1.0
