system_id,replica_id,nominal_duration_ns,original_file_observed_duration_ns,repaired_reduced_source_duration_ns,repair_status,repair_evidence,nominal_system_total_ns,original_file_observed_system_total_ns,full_system_source_distributed,reduced_release_record_expected,protocol_group,production_engine,engine_versions_from_available_outputs,engine_version_scope,production_records_recovered_n,replica_seed_evidence,protocol_evidence_status,protocol_evidence_gap,source_trajectory_write_interval_ps,provenance_scope
G12_7SF7,1,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P2,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7SF7,2,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P2,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7SF7,3,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P2,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7SF8,1,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P2,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7SF8,2,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P2,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7SF8,3,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P2,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7T6B,1,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P1,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7T6B,2,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P1,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_7T6B,3,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P1,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
G12_8IKL,1,500.0,500.0,500.0,not_required,,1500.0,1500.0,False,True,P1,AMBER PMEMD,24,single_version_in_available_records,3,distinct_wallclock_seeds,verified,,50.0,source-simulation provenance; not a deposited full-system molecular-file record
