record_type,expected_systems,files_present,records_available,records_missing,records_unpopulated,records_not_applicable,total_size_bytes,affected_system_ids,schema_location,availability_semantics,scope_note,schema_version
viz_structure,207,208,208,0,0,0,287070669,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current portal structure file is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
viz_trajectory,207,208,208,0,0,0,33457911200,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current portal visualization trajectory is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_index,207,208,208,0,0,0,291678,,https://www.coupledmd.cn/api/openapi.json,"Available requires valid JSON, matching system_id, and a metadata object.",current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_pockets,207,208,208,0,0,0,1352872,,https://www.coupledmd.cn/api/openapi.json,Valid JSON requires matching system_id and n_pockets equal to array length; n_pockets=0 is available.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_pockets_gpcrdb,207,208,208,0,0,0,2157158,,https://www.coupledmd.cn/api/openapi.json,Valid mapped-pocket JSON requires matching system_id and n_pockets equal to array length; zero pockets is available.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_gateways,207,208,208,0,0,0,1675832,,https://www.coupledmd.cn/api/openapi.json,Available requires all seven interfaces and all four metrics in valid JSON.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_gprotein,207,208,208,0,0,0,34683960,,https://www.coupledmd.cn/api/openapi.json,Available requires valid JSON with matching system_id.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
api_pocketgrid,207,208,208,0,0,0,1516766592,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current API binary pocket-grid file is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
chain_roles,207,208,208,0,0,0,88456,,https://www.coupledmd.cn/api/openapi.json,Available requires valid JSON with a roles object.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
contacts,207,208,208,0,0,0,10261501,,https://www.coupledmd.cn/api/openapi.json,Available means a non-empty current server contact-record file is present.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,1.0
