system_id,pdb_id,g_protein_family,release_replica,reserved_doi,file_role,archive_member_path,size_bytes,sha256,n_atoms,n_frames,frame_interval_ps,represented_span_ns,local_manifest_status,local_full_frame_qc_status,remote_state,publicly_resolvable,component_scope
G12_7SF7,7SF7,G12-13,1,10.5281/zenodo.21395292,structure_pdb,G12_7SF7/structure.pdb,1146150.0,4f8a47b2bda9cc271c84f790afded96d387b1991236728a338f4eaab6c7b6ec5,14148.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_7SF7,7SF7,G12-13,1,10.5281/zenodo.21395292,trajectory_xtc,G12_7SF7/traj.xtc,134520700.0,9763422edfb3d07032901e1f45d577e6c02094925e2189614b71f5408a26ca0e,14148.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_7SF8,7SF8,G12-13,1,10.5281/zenodo.21395292,structure_pdb,G12_7SF8/structure.pdb,1122255.0,fafbd07feffcf6e0a0f656dd40a4bdc5a4d76fd764d9cded303879376e03cbe9,13853.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_7SF8,7SF8,G12-13,1,10.5281/zenodo.21395292,trajectory_xtc,G12_7SF8/traj.xtc,131802396.0,32882f2072d34ad001ffe301ab6ac6add8045256139ab4006c2c75567e1a9fe5,13853.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_7T6B,7T6B,G12-13,1,10.5281/zenodo.21395292,structure_pdb,G12_7T6B/structure.pdb,1402920.0,b8b11cc6f4bac15c777671fd4f818ccda809da4398599db71d6ed9a6c9d666e4,17318.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_7T6B,7T6B,G12-13,1,10.5281/zenodo.21395292,trajectory_xtc,G12_7T6B/traj.xtc,164395204.0,7e81f67f2ef127cffc2078d3d685beab375470aa169c38fcfd087d988e98c5f9,17318.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_8IKL,8IKL,G12-13,1,10.5281/zenodo.21395292,structure_pdb,G12_8IKL/structure.pdb,1135458.0,0f1f688440f3e10c3181780c19cadd46c65cae2b96fd06b187bdcbadfad60196,14016.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_8IKL,8IKL,G12-13,1,10.5281/zenodo.21395292,trajectory_xtc,G12_8IKL/traj.xtc,133306780.0,51e62539008ab8de9aaea879f55a7d18397136cfff5afb8281f682c76f5e42b6,14016.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_8KGG,8KGG,G12-13,1,10.5281/zenodo.21395292,structure_pdb,G12_8KGG/structure.pdb,1177497.0,6ee137d37128d93618c86df055c61a8a8bed8843448317a246a590dd2ffb42fa,14535.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_8KGG,8KGG,G12-13,1,10.5281/zenodo.21395292,trajectory_xtc,G12_8KGG/traj.xtc,138139912.0,a3f463fc011de4adc2a81539c7675e4b75ed589908a5a37ffdc2230ce61ec4f4,14535.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_9IY8,9IY8,G12-13,1,10.5281/zenodo.21395292,structure_pdb,G12_9IY8/structure.pdb,1407780.0,7a68bff5c75193cd6abb519d3bedb05600b8d1cf18a12289b6ca144a70aae0a6,17378.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
G12_9IY8,9IY8,G12-13,1,10.5281/zenodo.21395292,trajectory_xtc,G12_9IY8/traj.xtc,164949224.0,0532647567a1e6e9848f0939d25397c78fe836086349b1a267d9d71dc72f76ad,17378.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
Gi_6CMO,6CMO,Gi,1,10.5281/zenodo.21395292,structure_pdb,Gi_6CMO/structure.pdb,1372383.0,23f93f0f85c1a467b9d05b377bf9f518ae6f9c30f5cfe00ae57b949ee8f6f625,16941.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
Gi_6CMO,6CMO,Gi,1,10.5281/zenodo.21395292,trajectory_xtc,Gi_6CMO/traj.xtc,160819384.0,be0de55aa284fd44e2924b40325adc98d37c784d5c2075b43ef1524379bb331b,16941.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
Gi_6D9H,6D9H,Gi,1,10.5281/zenodo.21395292,structure_pdb,Gi_6D9H/structure.pdb,1369964.0,3636955f581f401facc525ad38949ce26badebf54e80ea0ff2a2df4814a5ae33,16911.0,1.0,,,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
Gi_6D9H,6D9H,Gi,1,10.5281/zenodo.21395292,trajectory_xtc,Gi_6D9H/traj.xtc,160946044.0,81e74c1970f214dde843f76c909c51016c51adede3502c09639ec9e487a61656,16911.0,2500.0,200.0,499.8,present,passed,unsubmitted,False,"reduced protein complex; membrane, solvent and ions excluded"
