field,appears_in,type,unit,requiredness,nullable,definition,example,schema_version
affected_system_ids,Supplementary_Data_S9_api_access_audit.csv,number,unitless or field-specific,conditional,True,Affected system ids as serialized in the named v12 table.,,v12.1
archive_member_path,Supplementary_Data_S4_reduced_release_manifest.csv,string,unitless or field-specific,conditional,True,Archive member path as serialized in the named v12 table.,G12_7SF7/structure.pdb,v12.1
atom_order_backbone_geometry,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Atom order backbone geometry as serialized in the named v12 table.,passed,v12.1
audit_kind,Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Audit kind as serialized in the named v12 table.,per_system_record_coverage,v12.1
availability_semantics,Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Availability semantics as serialized in the named v12 table.,Available means a non-empty current portal structure file is present.,v12.1
baseline_replica_statuses,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Baseline replica statuses as serialized in the named v12 table.,rep1=HOLD | rep2=HOLD | rep3=HOLD,v12.1
catastrophic_chain_break_absent,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Catastrophic chain break absent as serialized in the named v12 table.,True,v12.1
ci_hi,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Stored upper interval bound.,6.12,v12.1
ci_lo,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Stored lower interval bound.,5.725,v12.1
complex_separation_absent,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Complex separation absent as serialized in the named v12 table.,True,v12.1
component_scope,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,required,False,Molecular components included in the distributed record.,"reduced protein complex; membrane, solvent and ions excluded",v12.1
coordinate_scatter_absent,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Coordinate scatter absent as serialized in the named v12 table.,True,v12.1
engine_version_scope,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Engine version scope as serialized in the named v12 table.,single_version_in_available_records,v12.1
engine_versions_from_available_outputs,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,conditional,True,Engine versions from available outputs as serialized in the named v12 table.,24,v12.1
evidence_group,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Evidence group as serialized in the named v12 table.,strict_baseline,v12.1
