system_id,g_protein_family,interface,metric,mean,ci_lo,ci_hi,n_replicas,replica_1,replica_2,replica_3,unit,schema_version,reproducibility_note
G12_7SF7,G12-13,TM1-TM2,occupancy,5.968,5.725,6.12,3,6.06,5.725,6.12,lipid_heavy_atoms_per_frame,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM1-TM2,penetration,0.012,0.004,0.019,3,0.019,0.004,0.013,angstrom,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM1-TM2,penetration_p90,0.0,0.0,0.0,3,0.0,0.0,0.0,angstrom,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM1-TM2,open_fraction,0.005,0.005,0.005,3,0.005,0.005,0.005,fraction,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM2-TM3,occupancy,2.872,2.69,3.185,3,2.74,3.185,2.69,lipid_heavy_atoms_per_frame,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM2-TM3,penetration,0.0,0.0,0.0,3,0.0,0.0,0.0,angstrom,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM2-TM3,penetration_p90,0.0,0.0,0.0,3,0.0,0.0,0.0,angstrom,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM2-TM3,open_fraction,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM3-TM4,occupancy,8.845,8.725,8.975,3,8.835,8.725,8.975,lipid_heavy_atoms_per_frame,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM3-TM4,penetration,1.094,1.071,1.139,3,1.139,1.071,1.073,angstrom,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM3-TM4,penetration_p90,2.673,2.586,2.806,3,2.806,2.627,2.586,angstrom,1.0,processed full-system summary; cannot be recalculated from reduced XTC
G12_7SF7,G12-13,TM3-TM4,open_fraction,0.597,0.575,0.61,3,0.575,0.605,0.61,fraction,1.0,processed full-system summary; cannot be recalculated from reduced XTC
