reference_number,manuscript_reference,manuscript_year,doi,http_status,registry,crossref_title,crossref_year,title_in_manuscript_reference,doi_normalized,status
1,"Weis, W. I. & Kobilka, B. K. The molecular basis of G protein-coupled receptor activation. *Annu. Rev. Biochem.* **87**, 897–919",2018,10.1146/annurev-biochem-060614-033910,200,Crossref REST API,The Molecular Basis of G Protein–Coupled Receptor Activation,2018,True,10.1146/annurev-biochem-060614-033910,PASS
2,"Hauser, A. S. *et al.* Pharmacogenomics of GPCR drug targets. *Cell* **172**, 41–54.e19",2018,10.1016/j.cell.2017.11.033,200,Crossref REST API,Pharmacogenomics of GPCR Drug Targets,2018,True,10.1016/j.cell.2017.11.033,PASS
3,"Taracena Herrera, L. P. *et al.* GPCRdb in 2025: adding odorant receptors, data mapper, structure similarity search and models of physiological ligand complexes. *Nucleic Acids Res.* **53**, D425–D435",2025,10.1093/nar/gkae1065,200,Crossref REST API,"GPCRdb in 2025: adding odorant receptors, data mapper, structure similarity search and models of physiological ligand complexes",2025,True,10.1093/nar/gkae1065,PASS
4,"Pándy-Szekeres, G. *et al.* GproteinDb in 2024: new G protein–GPCR couplings, AlphaFold2-multimer models and interface interactions. *Nucleic Acids Res.* **52**, D466–D475",2024,10.1093/nar/gkad1089,200,Crossref REST API,"GproteinDb in 2024: new G protein-GPCR couplings, AlphaFold2-multimer models and interface interactions",2024,True,10.1093/nar/gkad1089,PASS
5,"Rodríguez-Espigares, I. *et al.* GPCRmd uncovers the dynamics of the 3D-GPCRome. *Nat. Methods* **17**, 777–787",2020,10.1038/s41592-020-0884-y,200,Crossref REST API,GPCRmd uncovers the dynamics of the 3D-GPCRome,2020,True,10.1038/s41592-020-0884-y,PASS
6,"Mirarchi, A., Giorgino, T. & De Fabritiis, G. mdCATH: a large-scale MD dataset for data-driven computational biophysics. *Sci. Data* **11**, 1299",2024,10.1038/s41597-024-04140-z,200,Crossref REST API,mdCATH: A Large-Scale MD Dataset for Data-Driven Computational Biophysics,2024,True,10.1038/s41597-024-04140-z,PASS
7,"Berman, H. M. *et al.* The Protein Data Bank. *Nucleic Acids Res.* **28**, 235–242",2000,10.1093/nar/28.1.235,200,Crossref REST API,The Protein Data Bank,2000,True,10.1093/nar/28.1.235,PASS
8,"UniProt Consortium. UniProt: the Universal Protein Knowledgebase in 2025. *Nucleic Acids Res.* **53**, D609–D617",2025,10.1093/nar/gkae1010,200,Crossref REST API,UniProt: the Universal Protein Knowledgebase in 2025,2025,True,10.1093/nar/gkae1010,PASS
9,"Jo, S., Kim, T., Iyer, V. G. & Im, W. CHARMM-GUI: a web-based graphical user interface for CHARMM. *J. Comput. Chem.* **29**, 1859–1865",2008,10.1002/jcc.20945,200,Crossref REST API,CHARMM‐GUI: A web‐based graphical user interface for CHARMM,2008,True,10.1002/jcc.20945,PASS
10,"Lee, J. *et al.* CHARMM-GUI Membrane Builder for complex biological membrane simulations with glycolipids and lipoglycans. *J. Chem. Theory Comput.* **15**, 775–786",2019,10.1021/acs.jctc.8b01066,200,Crossref REST API,CHARMM-GUI <i>Membrane Builder</i> for Complex Biological Membrane Simulations with Glycolipids and Lipoglycans,2019,True,10.1021/acs.jctc.8b01066,PASS
11,"Vanommeslaeghe, K. *et al.* CHARMM General Force Field: a force field for drug-like molecules compatible with the CHARMM all-atom additive biological force fields. *J. Comput. Chem.* **31**, 671–690",2010,10.1002/jcc.21367,200,Crossref REST API,CHARMM general force field: A force field for drug‐like molecules compatible with the CHARMM all‐atom additive biological force fields,2010,True,10.1002/jcc.21367,PASS
12,"Darden, T., York, D. & Pedersen, L. Particle mesh Ewald: an N·log(N) method for Ewald sums in large systems. *J. Chem. Phys.* **98**, 10089–10092",1993,10.1063/1.464397,200,Crossref REST API,Particle mesh Ewald: An <i>N</i>⋅log(<i>N</i>) method for Ewald sums in large systems,1993,True,10.1063/1.464397,PASS
13,"Nosé, S. A unified formulation of the constant temperature molecular dynamics methods. *J. Chem. Phys.* **81**, 511–519",1984,10.1063/1.447334,200,Crossref REST API,A unified formulation of the constant temperature molecular dynamics methods,1984,True,10.1063/1.447334,PASS
14,"Parrinello, M. & Rahman, A. Polymorphic transitions in single crystals: a new molecular dynamics method. *J. Appl. Phys.* **52**, 7182–7190",1981,10.1063/1.328693,200,Crossref REST API,Polymorphic transitions in single crystals: A new molecular dynamics method,1981,True,10.1063/1.328693,PASS
15,"Le Guilloux, V., Schmidtke, P. & Tuffery, P. Fpocket: an open source platform for ligand pocket detection. *BMC Bioinformatics* **10**, 168",2009,10.1186/1471-2105-10-168,200,Crossref REST API,Fpocket: An open source platform for ligand pocket detection,2009,True,10.1186/1471-2105-10-168,PASS
16,"Michaud-Agrawal, N. *et al.* MDAnalysis: a toolkit for the analysis of molecular dynamics simulations. *J. Comput. Chem.* **32**, 2319–2327",2011,10.1002/jcc.21787,200,Crossref REST API,MDAnalysis: A toolkit for the analysis of molecular dynamics simulations,2011,True,10.1002/jcc.21787,PASS
17,"Huang, J. *et al.* CHARMM36m: an improved force field for folded and intrinsically disordered proteins. *Nat. Methods* **14**, 71–73",2017,10.1038/nmeth.4067,200,Crossref REST API,CHARMM36m: an improved force field for folded and intrinsically disordered proteins,2017,True,10.1038/nmeth.4067,PASS
18,"Salomon-Ferrer, R. *et al.* Routine microsecond molecular dynamics simulations with AMBER on GPUs. 2. Explicit solvent particle mesh Ewald. *J. Chem. Theory Comput.* **9**, 3878–3888",2013,10.1021/ct400314y,200,Crossref REST API,Routine Microsecond Molecular Dynamics Simulations with AMBER on GPUs. 2. Explicit Solvent Particle Mesh Ewald,2013,True,10.1021/ct400314y,PASS
19,"Abraham, M. J. *et al.* GROMACS: high performance molecular simulations through multi-level parallelism from laptops to supercomputers. *SoftwareX* **1–2**, 19–25",2015,10.1016/j.softx.2015.06.001,200,Crossref REST API,GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers,2015,True,10.1016/j.softx.2015.06.001,PASS
20,"Rose, A. S. *et al.* NGL viewer: web-based molecular graphics for large complexes. *Bioinformatics* **34**, 3755–3758",2018,10.1093/bioinformatics/bty419,200,Crossref REST API,NGL viewer: web-based molecular graphics for large complexes,2018,True,10.1093/bioinformatics/bty419,PASS
21,"Wilkinson, M. D. *et al.* The FAIR Guiding Principles for scientific data management and stewardship. *Sci. Data* **3**, 160018",2016,10.1038/sdata.2016.18,200,Crossref REST API,The FAIR Guiding Principles for scientific data management and stewardship,2016,True,10.1038/sdata.2016.18,PASS
