section,parameter_or_metric,value_or_definition,unit,scope_note
frame classification,helix-pair distance cutoff,5.0,angstrom,lipid heavy atom must lie within the cutoff of both helices
frame classification,central TM z-band lower bound,25,percentile,TM C-alpha z coordinates
frame classification,central TM z-band upper bound,75,percentile,TM C-alpha z coordinates
frame classification,open-frame penetration threshold,0.5,angstrom,maximum inward displacement relative to the nearest helix-pair C-alpha wall
system aggregation,adjacent TM interfaces,7,interfaces,TM1-TM2 through TM7-TM1
system aggregation,source replicas,3,replicas,one summary per replica
system aggregation,bootstrap confidence level,95,percent,system-level interval
system aggregation,bootstrap resamples,1000,resamples,fixed random seed
reported metric,penetration,mean p_max,angstrom,mean deepest inward displacement
reported metric,penetration_p90,90th percentile,angstrom,upper-tail deepest inward displacement
reported metric,open_fraction,open frames / all frames,fraction,fraction of sampled frames classified as open
reported metric,occupancy,wedged atoms / frame,count,mean number of wedged lipid heavy atoms per frame
